gender,age,under_30,senior_citizen,partner,dependents,number_of_dependents,married,total_population,phone_service_x,internet_service_x,online_security,online_backup,device_protection,premium_tech_support,streaming_tv,streaming_movies,streaming_music,internet_type,contract,paperless_billing,payment_method,monthly_ charges,avg_monthly_long_distance_charges,total_charges,total_refunds,total_extra_data_charges,total_long_distance_charges,total_revenue,tenure,multiple_lines,avg_monthly_gb_download,unlimited_data,offer,referred_a_friend,number_of_referrals,satisfaction_score,cltv,churn_value
Male,75,No,Yes,No,No,0,No,781,Yes,Yes,No,No,No,No,No,Yes,No,Fiber Optic,Month-to-Month,Yes,Electronic check,79.25,7.51,793.55,0.0,0,75.1,868.65,10,No,18,Yes,Offer D,No,0,1,3856,1
Male,37,No,No,No,No,0,No,42239,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Fiber Optic,Month-to-Month,Yes,Electronic check,104.4,8.38,1081.45,0.0,0,83.8,1165.25,10,No,2,Yes,No Offer,No,0,1,5035,1
Female,27,Yes,No,No,No,0,No,417,Yes,Yes,No,No,No,No,No,Yes,Yes,Fiber Optic,Month-to-Month,Yes,Electronic check,84.6,35.96,1115.2,0.0,0,467.48,1582.68,13,Yes,42,Yes,Offer D,No,0,1,2659,1
Male,62,No,No,No,No,0,No,35325,Yes,No,No,No,No,No,No,No,No,No,One Year,No,Mailed check,18.8,17.17,279.2,0.0,0,326.23,605.43,19,No,0,No,Offer D,No,0,3,2916,0
Female,56,No,No,Yes,No,0,Yes,46960,Yes,No,No,No,No,No,No,No,No,No,Two Year,No,Credit card (automatic),25.0,39.98,1849.2,0.0,0,2878.56,4727.76,72,Yes,0,No,No Offer,Yes,7,4,6126,0
Male,71,No,Yes,Yes,No,0,Yes,27023,Yes,Yes,Yes,No,No,Yes,No,No,No,Cable,One Year,Yes,Electronic check,60.05,21.67,3229.65,0.0,100,1148.51,4478.16,53,Yes,6,No,No Offer,Yes,1,1,5271,1
Female,77,No,Yes,Yes,No,0,Yes,36944,Yes,Yes,No,Yes,No,No,Yes,No,No,Fiber Optic,Month-to-Month,Yes,Electronic check,90.6,13.02,90.6,0.0,0,13.02,103.62,1,Yes,30,Yes,Offer E,Yes,1,2,2905,1
Female,67,No,Yes,Yes,No,0,Yes,30751,Yes,Yes,No,No,Yes,No,No,Yes,No,Fiber Optic,One Year,Yes,Electronic check,86.1,40.85,3861.45,12.19,0,1838.25,5687.51,45,No,24,Yes,No Offer,Yes,5,4,2701,0
Male,37,No,No,No,No,0,No,48690,Yes,Yes,No,No,No,Yes,No,Yes,Yes,Fiber Optic,Month-to-Month,Yes,Credit card (automatic),89.05,11.96,1448.6,0.0,0,191.36,1639.96,16,Yes,18,Yes,No Offer,No,0,3,5953,1
Male,52,No,No,No,No,0,No,34902,Yes,No,No,No,No,No,No,No,No,No,Month-to-Month,Yes,Mailed check,19.6,14.17,19.6,0.0,0,14.17,33.77,1,No,0,No,Offer E,No,0,1,3448,1
Female,36,No,No,No,No,0,No,44683,Yes,No,No,No,No,No,No,No,No,No,Two Year,No,Credit card (automatic),19.4,12.62,1023.95,0.0,0,631.0,1654.95,50,No,0,No,No Offer,No,0,5,6233,0
Female,37,No,No,Yes,Yes,1,Yes,42277,Yes,No,No,No,No,No,No,No,No,No,Two Year,Yes,Mailed check,19.85,9.04,739.35,2.29,0,316.4,1053.46,35,No,0,No,No Offer,Yes,5,3,4177,0
Male,25,Yes,No,Yes,No,0,Yes,45257,No,Yes,No,No,Yes,No,No,No,No,DSL,Month-to-Month,No,Electronic check,29.1,0.0,688.0,0.0,0,0.0,688.0,24,No,51,Yes,Offer C,Yes,4,3,4636,0
Male,26,Yes,No,No,No,0,No,39089,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,Fiber Optic,Month-to-Month,No,Electronic check,91.0,45.24,2626.15,0.0,0,1266.72,3892.87,28,No,59,Yes,No Offer,No,0,3,2448,0
Female,32,No,No,Yes,Yes,1,Yes,2664,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Fiber Optic,Two Year,No,Mailed check,99.65,49.26,4630.2,9.35,0,2265.96,6886.81,46,Yes,18,Yes,Offer B,Yes,10,3,4736,0
Male,64,No,No,No,No,0,No,40376,Yes,No,No,No,No,No,No,No,No,No,Two Year,Yes,Mailed check,20.2,42.8,684.4,0.0,0,1498.0,2182.4,35,No,0,No,No Offer,No,0,3,3481,0
Male,51,No,No,Yes,Yes,2,Yes,46086,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Cable,Month-to-Month,No,Electronic check,85.7,26.84,4616.1,0.0,0,1422.52,6038.62,53,Yes,12,Yes,No Offer,Yes,5,5,5957,0
Female,55,No,No,Yes,No,0,Yes,48170,Yes,Yes,No,No,No,No,Yes,No,No,Fiber Optic,Month-to-Month,No,Electronic check,78.8,28.04,78.8,0.0,0,28.04,106.84,1,No,30,Yes,Offer E,Yes,1,3,5075,1
Female,63,No,No,No,No,0,No,3205,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Cable,One Year,Yes,Bank transfer (automatic),72.35,5.39,4991.5,0.0,0,361.13,5352.63,67,No,9,Yes,No Offer,No,0,3,4910,0
Female,69,No,Yes,Yes,No,0,Yes,19763,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Fiber Optic,Two Year,Yes,Bank transfer (automatic),110.0,24.62,6668.35,0.0,0,1477.2,8145.55,60,No,30,Yes,No Offer,Yes,2,5,4953,0
Male,53,No,No,No,No,0,No,16717,No,Yes,Yes,No,Yes,No,No,No,No,DSL,Month-to-Month,No,Mailed check,33.6,0.0,550.35,0.0,0,0.0,550.35,18,No,30,Yes,No Offer,No,0,4,5388,0
Female,47,No,No,No,No,0,No,58830,Yes,Yes,No,No,No,Yes,Yes,No,No,Fiber Optic,Month-to-Month,Yes,Electronic check,88.35,12.67,1639.3,0.0,0,228.06,1867.36,18,Yes,23,Yes,No Offer,No,0,3,5727,1
Female,54,No,No,No,No,0,No,33280,Yes,Yes,No,Yes,Yes,No,No,No,No,Fiber Optic,Month-to-Month,Yes,Bank transfer (automatic),84.8,40.17,3862.55,0.0,0,1767.48,5630.03,44,Yes,6,Yes,No Offer,No,0,2,3997,1
Male,34,No,No,No,No,0,No,58632,Yes,Yes,No,Yes,No,No,No,No,No,Cable,Month-to-Month,No,Mailed check,49.25,38.01,208.45,0.0,0,152.04,360.49,4,No,5,Yes,No Offer,No,0,3,3272,0
Male,65,No,Yes,No,No,0,No,1931,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Fiber Optic,Two Year,Yes,Electronic check,94.85,37.78,335.75,0.0,0,113.34,449.09,3,Yes,28,Yes,Offer E,No,0,4,4496,0
Female,26,Yes,No,Yes,Yes,3,Yes,41237,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Fiber Optic,Two Year,Yes,Bank transfer (automatic),115.6,34.69,8220.4,0.0,140,2497.68,10858.08,72,Yes,59,No,No Offer,Yes,9,3,5633,0
Male,25,Yes,No,No,No,0,No,22796,Yes,Yes,No,No,Yes,No,No,Yes,Yes,DSL,Month-to-Month,No,Mailed check,61.65,39.85,1393.6,0.0,0,836.85,2230.45,21,No,52,Yes,Offer D,No,0,4,2926,0
Male,30,No,No,No,No,0,No,16357,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,DSL,Two Year,Yes,Bank transfer (automatic),74.35,24.67,4317.35,0.0,0,1406.19,5723.54,57,No,42,Yes,No Offer,No,0,4,5548,0
Male,22,Yes,No,No,Yes,1,No,407,Yes,No,No,No,No,No,No,No,No,No,Two Year,No,Credit card (automatic),19.9,31.93,1529.65,0.0,0,2298.96,3828.61,72,No,0,No,No Offer,No,0,4,5730,0
Male,51,No,No,No,No,0,No,39279,Yes,Yes,Yes,No,No,No,Yes,No,No,Fiber Optic,One Year,No,Mailed check,86.35,27.3,4267.15,0.0,0,1392.3,5659.45,51,No,13,Yes,Offer B,No,0,3,5311,0
Female,20,Yes,No,No,No,0,No,12348,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,Fiber Optic,Month-to-Month,No,Electronic check,91.7,17.23,91.7,0.0,0,17.23,108.93,1,No,52,Yes,Offer E,No,0,3,4319,1
Female,23,Yes,No,No,No,0,No,24741,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Fiber Optic,One Year,Yes,Credit card (automatic),94.1,48.97,5060.9,0.0,140,2644.38,7845.28,54,No,42,No,No Offer,No,0,3,4084,0
Female,28,Yes,No,No,No,0,No,27804,Yes,No,No,No,No,No,No,No,No,No,One Year,No,Electronic check,20.55,23.12,1343.4,30.53,0,1549.04,2861.91,67,No,0,No,No Offer,No,0,5,5462,0
Male,39,No,No,Yes,Yes,3,Yes,1374,Yes,Yes,No,Yes,No,Yes,Yes,No,No,Fiber Optic,Month-to-Month,Yes,Credit card (automatic),96.95,23.52,5432.2,0.0,0,1317.12,6749.32,56,Yes,53,Yes,Offer B,Yes,4,5,6484,0
Male,57,No,No,No,Yes,1,No,26753,No,Yes,Yes,Yes,Yes,Yes,No,No,No,DSL,Month-to-Month,Yes,Mailed check,45.0,0.0,1242.45,12.26,0,0.0,1230.19,29,No,21,Yes,No Offer,No,0,4,3290,0
Male,50,No,No,Yes,No,0,Yes,2606,Yes,Yes,No,Yes,No,Yes,Yes,No,No,DSL,One Year,Yes,Electronic check,69.0,45.97,2441.7,0.0,0,1608.95,4050.65,35,Yes,13,Yes,Offer C,Yes,6,3,5283,0
Male,55,No,No,No,Yes,2,No,25859,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Cable,Two Year,No,Mailed check,89.55,9.36,5012.35,30.45,0,533.52,5515.42,57,Yes,20,Yes,Offer B,No,0,4,4260,0
Male,47,No,No,No,No,0,No,52334,No,Yes,Yes,No,Yes,No,No,No,No,DSL,One Year,No,Mailed check,35.3,0.0,264.8,0.0,0,0.0,264.8,7,No,14,Yes,No Offer,No,0,4,3463,0
Female,49,No,No,Yes,Yes,1,Yes,103214,Yes,No,No,No,No,No,No,No,No,No,One Year,No,Bank transfer (automatic),19.55,30.31,1007.9,0.0,0,1606.43,2614.33,53,No,0,No,Offer B,Yes,10,5,4670,0
Male,66,No,Yes,No,No,0,No,1831,Yes,No,No,No,No,No,No,No,No,No,Two Year,Yes,Credit card (automatic),20.0,10.48,1396.0,0.0,0,712.64,2108.64,68,No,0,No,Offer A,No,0,5,6136,0
Male,76,No,Yes,Yes,No,0,Yes,2743,Yes,Yes,No,No,No,No,No,No,No,Fiber Optic,Two Year,No,Electronic check,74.3,17.84,74.3,0.0,0,17.84,92.14,1,Yes,20,Yes,No Offer,Yes,7,5,2968,0
Male,21,Yes,No,No,No,0,No,790,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,DSL,Month-to-Month,No,Electronic check,70.3,23.52,132.4,0.0,0,47.04,179.44,2,No,48,Yes,No Offer,No,0,3,4799,0
Male,43,No,No,Yes,Yes,2,Yes,14010,Yes,No,No,No,No,No,No,No,No,No,One Year,No,Electronic check,19.6,15.76,411.15,0.0,0,394.0,805.15,25,No,0,No,No Offer,Yes,1,4,2888,0
Male,33,No,No,Yes,No,0,Yes,11266,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Cable,One Year,Yes,Electronic check,94.4,47.4,5610.25,0.0,0,2844.0,8454.25,60,No,29,Yes,Offer B,Yes,9,2,4990,1
Male,33,No,No,Yes,Yes,2,Yes,1666,Yes,Yes,No,No,No,No,No,No,No,DSL,Month-to-Month,No,Mailed check,45.25,35.09,155.35,0.0,0,140.36,295.71,4,No,30,Yes,Offer E,Yes,8,5,2776,0
Male,66,No,Yes,No,No,0,No,39334,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Fiber Optic,One Year,Yes,Bank transfer (automatic),110.75,47.8,7053.35,0.0,0,2963.6,10016.95,62,Yes,8,Yes,No Offer,No,0,5,5166,0
Female,57,No,No,No,No,0,No,29964,Yes,Yes,No,No,No,No,No,No,No,Fiber Optic,Month-to-Month,Yes,Electronic check,70.15,33.75,123.8,0.0,0,67.5,191.3,2,No,10,Yes,No Offer,No,0,3,4840,0
Male,64,No,No,No,No,0,No,11517,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Fiber Optic,Month-to-Month,Yes,Credit card (automatic),93.5,40.83,4747.5,0.0,0,2041.5,6789.0,50,No,21,Yes,Offer B,No,0,4,6367,0
Male,25,Yes,No,Yes,Yes,1,Yes,986,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Fiber Optic,Two Year,Yes,Bank transfer (automatic),114.0,25.45,8175.9,0.0,0,1806.95,9982.85,71,Yes,59,Yes,No Offer,No,0,4,5600,0
Female,37,No,No,Yes,Yes,3,Yes,12587,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Fiber Optic,One Year,Yes,Bank transfer (automatic),103.7,35.04,5656.75,0.0,20,1927.2,7603.95,55,No,57,No,No Offer,Yes,10,3,5892,0
Female,22,Yes,No,Yes,No,0,Yes,11024,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Fiber Optic,Month-to-Month,Yes,Credit card (automatic),105.1,39.25,5083.55,0.0,0,1884.0,6967.55,48,Yes,51,Yes,Offer B,Yes,4,3,3109,0
Male,32,No,No,No,No,0,No,2198,Yes,No,No,No,No,No,No,No,No,No,Month-to-Month,Yes,Electronic check,19.85,31.77,19.85,0.0,0,31.77,51.62,1,No,0,No,Offer E,No,0,2,3874,1
Female,31,No,No,No,No,0,No,42239,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,DSL,Month-to-Month,Yes,Electronic check,74.65,36.43,703.55,0.0,0,327.87,1031.42,9,No,16,Yes,Offer E,No,0,1,5900,1
Male,22,Yes,No,No,No,0,No,18058,Yes,Yes,No,No,No,Yes,No,Yes,Yes,Cable,Month-to-Month,No,Mailed check,65.55,13.31,237.2,0.0,0,53.24,290.44,4,Yes,59,Yes,No Offer,No,0,4,5707,0
Female,33,No,No,Yes,Yes,3,Yes,7789,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Fiber Optic,Two Year,Yes,Bank transfer (automatic),118.75,41.14,8672.45,0.0,0,2962.08,11634.53,72,Yes,53,Yes,No Offer,Yes,1,4,5475,0
Female,23,Yes,No,Yes,No,0,Yes,14852,Yes,No,No,No,No,No,No,No,No,No,Two Year,No,Mailed check,20.2,36.24,1277.75,0.0,0,2319.36,3597.11,64,No,0,No,No Offer,Yes,1,5,4557,0
Male,33,No,No,Yes,No,0,Yes,35325,Yes,No,No,No,No,No,No,No,No,No,Two Year,No,Credit card (automatic),19.3,25.57,1192.7,0.0,0,1508.63,2701.33,59,No,0,No,Offer B,Yes,3,3,4149,0
Male,60,No,No,Yes,Yes,3,Yes,58218,Yes,No,No,No,No,No,No,No,No,No,Two Year,No,Credit card (automatic),19.6,34.04,426.65,0.0,0,782.92,1209.57,23,No,0,No,No Offer,Yes,10,5,4617,0
Female,63,No,No,Yes,Yes,1,Yes,11264,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Fiber Optic,One Year,Yes,Electronic check,106.15,35.23,6256.2,0.0,0,2078.57,8334.77,59,Yes,19,Yes,Offer B,Yes,1,5,5096,0
Female,33,No,No,No,No,0,No,48727,Yes,Yes,No,No,No,No,No,No,No,Fiber Optic,Month-to-Month,Yes,Electronic check,74.5,13.61,74.5,0.0,0,13.61,88.11,1,Yes,25,Yes,No Offer,No,0,1,2016,1
Male,35,No,No,Yes,No,0,Yes,21911,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Cable,Two Year,No,Credit card (automatic),86.65,12.12,6094.25,3.2,0,872.64,6963.69,72,Yes,23,Yes,No Offer,Yes,1,3,5483,0
Female,57,No,No,Yes,Yes,1,Yes,46626,No,Yes,Yes,Yes,No,No,No,No,No,Cable,Month-to-Month,Yes,Electronic check,35.15,0.0,1051.05,0.0,0,0.0,1051.05,32,No,14,Yes,No Offer,Yes,3,4,3163,0
Male,43,No,No,Yes,No,0,Yes,61623,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Fiber Optic,Month-to-Month,Yes,Bank transfer (automatic),107.35,37.74,5118.95,0.0,0,1773.78,6892.73,47,Yes,7,Yes,No Offer,Yes,1,2,3620,1
Male,35,No,No,No,No,0,No,330,Yes,Yes,No,No,No,Yes,No,No,No,Cable,Month-to-Month,Yes,Mailed check,50.25,28.19,152.3,0.0,0,84.57,236.87,3,No,21,Yes,No Offer,No,0,3,2166,0
Female,51,No,No,No,No,0,No,46342,Yes,No,No,No,No,No,No,No,No,No,Month-to-Month,Yes,Mailed check,24.5,17.01,270.15,0.0,0,170.1,440.25,10,Yes,0,No,Offer D,No,0,3,5594,0
Male,64,No,No,Yes,Yes,1,Yes,15195,Yes,No,No,No,No,No,No,No,No,No,One Year,Yes,Credit card (automatic),20.0,24.22,445.3,0.0,0,557.06,1002.36,23,No,0,No,Offer D,Yes,2,5,2170,0
Female,67,No,Yes,Yes,No,0,Yes,8316,Yes,Yes,No,No,Yes,No,Yes,No,No,Fiber Optic,One Year,Yes,Electronic check,90.7,44.26,2835.5,0.0,0,1372.06,4207.56,31,Yes,22,Yes,No Offer,Yes,1,3,2364,0
Male,39,No,No,Yes,No,0,Yes,3524,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Fiber Optic,One Year,No,Credit card (automatic),100.35,5.69,5681.1,0.0,0,330.02,6011.12,58,Yes,10,Yes,Offer B,Yes,7,3,6432,0
Female,33,No,No,Yes,Yes,1,Yes,31352,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Cable,Month-to-Month,Yes,Electronic check,68.55,29.94,564.35,0.0,0,239.52,803.87,8,No,17,Yes,No Offer,Yes,1,3,3123,0
Female,41,No,No,Yes,Yes,2,Yes,4602,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,DSL,Two Year,No,Mailed check,84.75,9.09,2839.45,0.0,0,309.06,3148.51,34,No,16,Yes,Offer C,Yes,9,3,2020,0
Male,62,No,No,No,No,0,No,58639,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Fiber Optic,Month-to-Month,Yes,Mailed check,96.75,39.87,3403.4,0.0,130,1395.45,4928.85,35,Yes,23,No,Offer C,No,0,3,5154,0
Male,61,No,No,No,No,0,No,23172,Yes,Yes,No,Yes,Yes,No,No,No,No,Fiber Optic,Month-to-Month,Yes,Electronic check,79.8,30.88,973.45,0.0,0,401.44,1374.89,13,No,3,Yes,No Offer,No,0,2,5067,1
Female,21,Yes,No,Yes,Yes,2,Yes,207,Yes,Yes,No,No,No,No,Yes,Yes,Yes,DSL,Month-to-Month,No,Mailed check,65.7,27.27,134.35,0.0,0,54.54,188.89,2,No,51,Yes,No Offer,Yes,1,1,4265,1
Male,58,No,No,No,No,0,No,616,No,Yes,No,No,No,Yes,No,No,No,DSL,Month-to-Month,Yes,Electronic check,29.75,0.0,96.85,0.0,0,0.0,96.85,3,No,18,Yes,Offer E,No,0,3,3425,0
Male,21,Yes,No,Yes,No,0,Yes,56330,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Fiber Optic,Two Year,Yes,Electronic check,108.2,14.19,7840.6,0.0,0,1021.68,8862.28,72,Yes,71,Yes,No Offer,Yes,10,4,4773,0
Female,35,No,No,Yes,No,0,Yes,17929,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Fiber Optic,Month-to-Month,Yes,Electronic check,105.05,40.71,6914.95,0.0,60,2646.15,9621.1,65,Yes,23,No,Offer B,Yes,3,3,5313,0
Female,60,No,No,No,No,0,No,3220,Yes,No,No,No,No,No,No,No,No,No,Month-to-Month,No,Mailed check,18.85,41.04,163.2,0.0,0,410.4,573.6,10,No,0,No,Offer D,No,0,3,5949,0
Female,20,Yes,No,Yes,No,0,Yes,413,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Fiber Optic,One Year,Yes,Credit card (automatic),107.0,41.15,6152.3,0.0,0,2427.85,8580.15,59,Yes,48,No,Offer B,Yes,7,4,4620,0
Female,62,No,No,Yes,Yes,3,Yes,91,Yes,Yes,No,Yes,No,No,No,No,No,DSL,Month-to-Month,No,Electronic check,55.75,12.41,446.8,0.0,0,99.28,546.08,8,Yes,53,Yes,Offer E,Yes,1,4,5681,0
Female,20,Yes,No,No,No,0,No,274,Yes,Yes,No,No,No,Yes,No,Yes,Yes,Fiber Optic,Month-to-Month,No,Electronic check,85.8,10.6,272.2,0.0,0,31.8,304.0,3,No,73,Yes,No Offer,No,0,1,5641,1
Male,22,Yes,No,No,No,0,No,35586,Yes,No,No,No,No,No,No,No,No,No,One Year,No,Mailed check,19.5,33.48,226.8,0.0,0,368.28,595.08,11,No,0,No,Offer D,No,0,4,5825,0
Female,49,No,No,Yes,No,0,Yes,36817,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Cable,Two Year,No,Mailed check,81.0,13.32,4985.9,0.0,0,825.84,5811.74,62,No,22,Yes,Offer B,Yes,6,4,4684,0
Male,48,No,No,Yes,Yes,2,Yes,27381,Yes,Yes,No,No,No,No,No,No,No,Fiber Optic,Month-to-Month,No,Mailed check,69.95,29.1,143.9,0.0,0,58.2,202.1,2,No,19,Yes,Offer E,Yes,6,3,5010,0
Female,30,No,No,No,No,0,No,343,No,Yes,No,No,No,No,No,No,No,DSL,Month-to-Month,Yes,Electronic check,23.9,0.0,300.8,0.0,0,0.0,300.8,13,No,53,Yes,No Offer,No,0,3,2967,1
Female,62,No,No,Yes,No,0,Yes,46086,Yes,No,No,No,No,No,No,No,No,No,Month-to-Month,No,Bank transfer (automatic),19.5,31.7,146.3,0.0,0,190.2,336.5,6,No,0,No,No Offer,Yes,1,3,5579,1
Female,35,No,No,No,No,0,No,3680,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Fiber Optic,Month-to-Month,Yes,Electronic check,99.5,48.42,2369.05,19.5,0,1210.5,3560.05,25,No,8,Yes,No Offer,No,0,3,5932,1
Female,66,No,Yes,Yes,No,0,Yes,25418,Yes,Yes,No,Yes,No,No,Yes,Yes,No,Fiber Optic,One Year,Yes,Bank transfer (automatic),97.8,45.37,5458.8,0.0,0,2631.46,8090.26,58,Yes,28,Yes,Offer B,Yes,5,3,6019,0
Male,19,Yes,No,Yes,Yes,3,Yes,31392,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,Fiber Optic,One Year,Yes,Credit card (automatic),94.95,15.76,5791.85,0.0,0,977.12,6768.97,62,Yes,59,Yes,Offer B,Yes,6,4,4262,0
Female,56,No,No,Yes,No,0,Yes,163,Yes,No,No,No,No,No,No,No,No,No,One Year,No,Mailed check,26.0,33.47,684.05,0.0,0,870.22,1554.27,26,Yes,0,No,No Offer,Yes,7,5,2244,0
Male,73,No,Yes,Yes,No,0,Yes,683,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,DSL,Two Year,No,Credit card (automatic),77.35,33.68,5396.25,0.0,0,2424.96,7821.21,72,Yes,10,Yes,Offer A,Yes,4,4,6202,0
Female,76,No,Yes,No,No,0,No,4258,Yes,Yes,No,No,No,No,No,Yes,No,Fiber Optic,Month-to-Month,Yes,Electronic check,84.45,12.91,762.5,0.0,0,116.19,878.69,9,Yes,21,Yes,Offer E,No,0,3,3543,1
Male,31,No,No,No,No,0,No,8308,Yes,Yes,No,No,No,No,No,No,No,DSL,Month-to-Month,Yes,Mailed check,45.05,13.84,45.05,0.0,70,13.84,128.89,1,No,26,No,No Offer,No,0,3,2644,1
Female,22,Yes,No,Yes,No,0,Yes,32511,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Fiber Optic,Month-to-Month,Yes,Electronic check,95.15,29.81,2395.7,0.0,80,745.25,3220.95,25,No,52,No,No Offer,No,0,3,3273,0
Male,40,No,No,Yes,Yes,2,Yes,1314,Yes,Yes,No,No,No,No,Yes,No,No,Fiber Optic,Two Year,No,Bank transfer (automatic),82.5,29.93,4828.05,0.0,0,1735.94,6563.99,58,Yes,24,Yes,No Offer,Yes,1,3,4348,0
Female,44,No,No,No,No,0,No,58157,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Fiber Optic,Month-to-Month,Yes,Electronic check,100.25,10.49,3527.6,0.0,0,367.15,3894.75,35,Yes,17,Yes,Offer C,No,0,3,2744,1
Male,36,No,No,No,No,0,No,38534,Yes,No,No,No,No,No,No,No,No,No,Two Year,No,Mailed check,20.45,47.43,1042.65,0.0,0,2418.93,3461.58,51,No,0,No,No Offer,No,0,4,6097,0
